date,origin,destination,distance_km,weight_tons,fuel_price,weather_score,traffic_score,holiday,month,day_of_week,hour,freight_demand
2024-01-02 04:00:00,Ahmedabad,Kolkata,681,29.63,93.56,0.73,0.99,0,1,1,4,116.92
2024-01-02 05:00:00,Bangalore,Mumbai,1097,30.72,111.17,0.48,0.6,0,1,1,5,126.5
2024-01-02 06:00:00,Chennai,Chennai,588,12.76,103.14,0.46,0.15,0,1,1,6,63.02
2024-01-02 07:00:00,Hyderabad,Kolkata,994,3.64,101.6,0.81,0.17,0,1,1,7,47.7
2024-01-02 08:00:00,Bangalore,Hyderabad,1148,2.47,90.66,0.16,0.03,0,1,1,8,46.81
2024-01-02 09:00:00,Mumbai,Mumbai,802,30.95,86.22,0.48,0.71,0,1,1,9,118.43
2024-01-02 10:00:00,Pune,Hyderabad,584,16.03,98.84,0.82,0.44,0,1,1,10,78.01
2024-01-02 11:00:00,Chennai,Pune,722,6.22,100.84,0.85,0.01,0,1,1,11,46.26
2024-01-02 12:00:00,Bangalore,Mumbai,1114,8.2,88.81,0.12,0.1,0,1,1,12,62.04
2024-01-02 13:00:00,Hyderabad,Pune,617,30.88,86.78,0.85,0.29,0,1,1,13,117.43
2024-01-02 14:00:00,Hyderabad,Delhi,1486,24.36,91.48,0.01,0.42,0,1,1,14,114.07
2024-01-02 15:00:00,Delhi,Hyderabad,464,20.55,86.89,0.86,0.94,0,1,1,15,96.47
2024-01-02 16:00:00,Delhi,Delhi,498,25.3,86.68,0.26,0.54,1,1,1,16,116.34
2024-01-02 17:00:00,Kolkata,Mumbai,659,6.36,98.32,0.58,0.89,0,1,1,17,59.87
2024-01-02 18:00:00,Mumbai,Pune,707,13.44,109.31,0.01,0.25,0,1,1,18,68.54
2024-01-02 19:00:00,Ahmedabad,Mumbai,485,15.59,104.92,0.73,0.33,0,1,1,19,76.92
2024-01-02 20:00:00,Bangalore,Delhi,1625,13.27,105.38,0.43,0.88,0,1,1,20,90.08
2024-01-02 21:00:00,Bangalore,Vijayawada,754,34.71,92.87,0.85,0.49,0,1,1,21,131.31
2024-01-02 22:00:00,Ahmedabad,Vijayawada,288,23.68,85.33,0.56,0.59,0,1,1,22,97.25
2024-01-02 23:00:00,Kolkata,Mumbai,1115,29.44,98.52,0.83,0.57,0,1,1,23,121.64
2024-01-03 00:00:00,Pune,Chennai,783,10.23,96.31,0.61,0.65,0,1,2,0,72.22
2024-01-03 01:00:00,Pune,Bangalore,1781,11.3,113.42,0.75,0.59,0,1,2,1,81.29
2024-01-03 02:00:00,Kolkata,Delhi,849,9.79,87.16,0.75,0.69,1,1,2,2,79.13
2024-01-03 03:00:00,Pune,Mumbai,59,27.83,108.29,0.25,0.15,0,1,2,3,91.92
2024-01-03 04:00:00,Delhi,Pune,796,14.61,96.56,0.58,0.71,0,1,2,4,79.25
2024-01-03 05:00:00,Bangalore,Mumbai,1338,16.8,109.89,0.87,0.15,0,1,2,5,88.77
2024-01-03 06:00:00,Kolkata,Vijayawada,1654,28.66,99.85,0.88,0.34,0,1,2,6,123.02
2024-01-03 07:00:00,Bangalore,Pune,1518,38.9,109.62,0.38,0.83,0,1,2,7,152.82
2024-01-03 08:00:00,Ahmedabad,Bangalore,188,7.31,99.01,0.32,0.61,0,1,2,8,49.64
2024-01-03 09:00:00,Hyderabad,Mumbai,780,3.44,97.06,0.65,0.97,0,1,2,9,54.2
2024-01-03 10:00:00,Delhi,Kolkata,245,8.6,113.91,0.78,0.25,0,1,2,10,48.45
2024-01-03 11:00:00,Chennai,Vijayawada,1147,29.66,96.07,0.04,0.92,0,1,2,11,123.9
2024-01-03 12:00:00,Delhi,Kolkata,1688,8.59,109.16,0.09,0.64,0,1,2,12,63.21
2024-01-03 13:00:00,Kolkata,Bangalore,1298,23.79,87.01,0.78,0.37,0,1,2,13,112.09
2024-01-03 14:00:00,Chennai,Delhi,1708,24.02,86.88,0.44,0.79,0,1,2,14,119.56
2024-01-03 15:00:00,Hyderabad,Pune,1175,12.48,98.14,0.67,0.95,0,1,2,15,88.44
2024-01-03 16:00:00,Kolkata,Kolkata,313,3.68,102.57,0.82,0.78,0,1,2,16,49.95
2024-01-03 17:00:00,Mumbai,Chennai,994,16.57,103.26,0.76,0.01,0,1,2,17,89.04
2024-01-03 18:00:00,Bangalore,Delhi,969,8.28,86.09,0.81,0.01,1,1,2,18,74.41
2024-01-03 19:00:00,Hyderabad,Pune,210,8.19,105.9,0.51,0.13,0,1,2,19,52.61
2024-01-03 20:00:00,Bangalore,Vijayawada,1306,21.38,88.9,0.16,0.85,0,1,2,20,104.44
2024-01-03 21:00:00,Pune,Vijayawada,540,27.25,113.66,0.47,0.75,0,1,2,21,101.49
2024-01-03 22:00:00,Mumbai,Vijayawada,819,3.94,95.01,0.96,0.64,0,1,2,22,55.06
2024-01-03 23:00:00,Mumbai,Bangalore,360,23.55,92.84,0.31,0.69,0,1,2,23,94.11
2024-01-04 00:00:00,Hyderabad,Kolkata,1724,10.6,93.74,0.42,0.62,0,1,3,0,78.51
2024-01-04 01:00:00,Mumbai,Vijayawada,276,27.26,113.12,0.77,0.35,0,1,3,1,100.49
2024-01-04 02:00:00,Chennai,Hyderabad,322,32.6,99.49,0.08,0.72,0,1,3,2,119.07
2024-01-04 03:00:00,Mumbai,Vijayawada,987,32.47,98.04,0.76,0.94,1,1,3,3,140.98
2024-01-04 04:00:00,Bangalore,Mumbai,366,15.42,101.98,0.27,0.75,0,1,3,4,70.51
2024-01-04 05:00:00,Bangalore,Bangalore,1159,23.12,112.92,0.27,0.87,0,1,3,5,98.5
2024-01-04 06:00:00,Kolkata,Pune,340,31.95,94.25,0.58,0.24,0,1,3,6,115.05
2024-01-04 07:00:00,Bangalore,Pune,1542,3.37,90.42,0.26,0.35,0,1,3,7,51.59
2024-01-04 08:00:00,Kolkata,Pune,778,24.62,102.86,0.64,0.51,0,1,3,8,94.94
2024-01-04 09:00:00,Bangalore,Pune,1651,33.62,99.75,0.91,0.47,0,1,3,9,136.68
2024-01-04 10:00:00,Chennai,Mumbai,1720,15.52,86.86,0.4,0.47,0,1,3,10,92.23
2024-01-04 11:00:00,Ahmedabad,Delhi,1477,18.76,100.66,0.94,0.64,0,1,3,11,99.69
2024-01-04 12:00:00,Kolkata,Chennai,1500,28.25,101.87,0.94,0.86,0,1,3,12,123.44
2024-01-04 13:00:00,Delhi,Hyderabad,424,3.65,105.82,0.21,0.89,0,1,3,13,54.24
2024-01-04 14:00:00,Pune,Mumbai,616,16.04,114.87,0.43,0.15,0,1,3,14,67.5
2024-01-04 15:00:00,Hyderabad,Pune,917,12.53,97.65,0.99,0.09,1,1,3,15,82.88
2024-01-04 16:00:00,Bangalore,Mumbai,804,1.66,100.31,0.13,0.31,0,1,3,16,41.97
2024-01-04 17:00:00,Mumbai,Bangalore,301,8.64,87.25,0.48,0.74,0,1,3,17,60.47
2024-01-04 18:00:00,Ahmedabad,Chennai,1606,16.44,109.95,0.43,0.79,0,1,3,18,94.96
2024-01-04 19:00:00,Bangalore,Pune,356,8.7,87.94,0.81,0.38,0,1,3,19,61.94
2024-01-04 20:00:00,Mumbai,Hyderabad,1503,24.49,113.01,0.16,0.31,0,1,3,20,101.99
2024-01-04 21:00:00,Pune,Pune,724,18.5,95.46,0.22,0.13,1,1,3,21,91.66
2024-01-04 22:00:00,Pune,Chennai,917,2.54,95.13,0.18,0.24,0,1,3,22,42.62
2024-01-04 23:00:00,Pune,Hyderabad,313,11.73,94.86,0.17,0.1,0,1,3,23,54.02
2024-01-05 00:00:00,Mumbai,Chennai,117,1.76,113.51,0.26,0.3,0,1,4,0,27.15
2024-01-05 01:00:00,Bangalore,Hyderabad,1180,14.97,114.4,0.53,0.68,0,1,4,1,82.1
2024-01-05 02:00:00,Pune,Delhi,1473,11.11,114.2,0.71,0.13,0,1,4,2,73.31
2024-01-05 03:00:00,Chennai,Kolkata,1652,27.84,106.14,0.38,0.32,0,1,4,3,115.72
2024-01-05 04:00:00,Kolkata,Delhi,1272,12.99,88.33,0.45,0.53,0,1,4,4,81.52
2024-01-05 05:00:00,Mumbai,Mumbai,1265,15.63,96.59,0.79,0.33,0,1,4,5,87.36
2024-01-05 06:00:00,Mumbai,Mumbai,563,29.29,93.68,0.53,0.44,0,1,4,6,109.72
2024-01-05 07:00:00,Bangalore,Vijayawada,818,19.76,106.25,0.59,0.5,0,1,4,7,91.74
2024-01-05 08:00:00,Mumbai,Hyderabad,491,22.7,99.78,0.52,0.78,0,1,4,8,106.07
2024-01-05 09:00:00,Mumbai,Vijayawada,50,33.81,103.5,0.79,0.84,0,1,4,9,125.29
2024-01-05 10:00:00,Pune,Vijayawada,407,9.07,85.26,0.18,0.19,0,1,4,10,46.8
2024-01-05 11:00:00,Bangalore,Pune,1188,39.58,108.49,0.98,0.37,0,1,4,11,151.83
2024-01-05 12:00:00,Pune,Kolkata,952,36.1,113.56,0.88,0.58,0,1,4,12,137.23
2024-01-05 13:00:00,Kolkata,Bangalore,1673,12.18,105.08,0.4,0.5,0,1,4,13,76.63
2024-01-05 14:00:00,Ahmedabad,Bangalore,1270,35.82,110.56,0.42,0.08,0,1,4,14,127.04
2024-01-05 15:00:00,Kolkata,Pune,1677,30.4,99.35,0.85,0.34,0,1,4,15,131.75
2024-01-05 16:00:00,Ahmedabad,Pune,323,37.3,85.61,0.45,0.23,0,1,4,16,127.53
2024-01-05 17:00:00,Pune,Delhi,905,27.95,114.71,0.51,0.42,0,1,4,17,111.9
2024-01-05 18:00:00,Kolkata,Bangalore,1067,27.3,86.76,0.75,0.34,1,1,4,18,118.67
2024-01-05 19:00:00,Bangalore,Hyderabad,1233,1.14,90.78,0.39,0.7,0,1,4,19,49.76
2024-01-05 20:00:00,Hyderabad,Chennai,222,19.51,86.57,0.45,0.4,0,1,4,20,79.74
2024-01-05 21:00:00,Pune,Vijayawada,1618,8.81,103.75,0.04,0.24,0,1,4,21,69.0
2024-01-05 22:00:00,Ahmedabad,Mumbai,1531,13.64,102.5,0.13,0.62,0,1,4,22,82.29
2024-01-05 23:00:00,Chennai,Vijayawada,634,39.17,91.29,0.46,0.73,0,1,4,23,139.75
2024-01-06 00:00:00,Ahmedabad,Vijayawada,1506,4.33,113.7,0.05,0.11,0,1,5,0,46.53
2024-01-06 01:00:00,Chennai,Chennai,978,29.18,112.4,0.31,0.25,1,1,5,1,113.88
2024-01-06 02:00:00,Mumbai,Delhi,530,7.74,93.39,0.44,0.21,0,1,5,2,43.07
2024-01-06 03:00:00,Kolkata,Bangalore,504,1.29,104.77,0.1,0.2,0,1,5,3,31.45
2024-01-06 04:00:00,Chennai,Vijayawada,245,20.56,110.66,0.07,0.9,0,1,5,4,83.31
2024-01-06 05:00:00,Ahmedabad,Kolkata,845,7.29,95.79,0.02,0.13,0,1,5,5,46.7
2024-01-06 06:00:00,Mumbai,Pune,648,38.65,92.61,0.49,0.87,0,1,5,6,134.78
2024-01-06 07:00:00,Hyderabad,Kolkata,1382,8.94,92.69,0.15,0.39,0,1,5,7,60.13
2024-01-06 08:00:00,Bangalore,Kolkata,605,8.49,109.61,0.69,0.64,0,1,5,8,60.17
2024-01-06 09:00:00,Bangalore,Bangalore,897,2.25,98.89,0.49,0.44,0,1,5,9,42.14
2024-01-06 10:00:00,Bangalore,Hyderabad,1567,13.86,106.46,0.02,0.6,0,1,5,10,74.43
2024-01-06 11:00:00,Chennai,Delhi,488,1.94,104.51,0.06,0.55,0,1,5,11,35.0
2024-01-06 12:00:00,Hyderabad,Vijayawada,699,20.46,94.19,0.92,0.43,0,1,5,12,83.49
2024-01-06 13:00:00,Chennai,Vijayawada,408,20.72,91.24,0.12,0.28,0,1,5,13,76.77
2024-01-06 14:00:00,Kolkata,Vijayawada,1109,3.08,88.77,0.76,0.93,0,1,5,14,54.91
2024-01-06 15:00:00,Chennai,Pune,1107,10.36,85.72,0.25,0.92,0,1,5,15,71.14
2024-01-06 16:00:00,Hyderabad,Chennai,1161,33.45,87.44,0.32,0.07,0,1,5,16,115.42
2024-01-06 17:00:00,Hyderabad,Hyderabad,707,19.04,92.69,0.02,0.22,1,1,5,17,84.25
2024-01-06 18:00:00,Kolkata,Chennai,65,17.95,106.41,0.56,0.57,0,1,5,18,71.97
2024-01-06 19:00:00,Hyderabad,Mumbai,794,28.25,89.65,0.47,0.98,0,1,5,19,107.8
2024-01-06 20:00:00,Ahmedabad,Delhi,470,28.88,100.7,0.74,0.73,1,1,5,20,113.75
2024-01-06 21:00:00,Hyderabad,Hyderabad,602,30.72,92.35,0.91,0.82,0,1,5,21,115.34
2024-01-06 22:00:00,Bangalore,Hyderabad,816,33.39,100.35,0.55,0.31,0,1,5,22,112.17
2024-01-06 23:00:00,Ahmedabad,Vijayawada,842,10.06,107.5,0.95,0.22,0,1,5,23,58.82
2024-01-07 00:00:00,Ahmedabad,Chennai,1199,3.59,92.98,0.15,0.23,0,1,6,0,44.71
2024-01-07 01:00:00,Kolkata,Pune,1081,15.83,95.44,0.34,0.48,0,1,6,1,72.79
2024-01-07 02:00:00,Delhi,Mumbai,1545,34.35,106.69,0.83,0.86,0,1,6,2,136.03
2024-01-07 03:00:00,Delhi,Vijayawada,1541,4.04,101.39,0.55,0.22,0,1,6,3,44.58
2024-01-07 04:00:00,Hyderabad,Vijayawada,929,23.46,87.84,0.55,0.57,0,1,6,4,97.26
2024-01-07 05:00:00,Ahmedabad,Vijayawada,901,28.34,107.74,0.46,0.81,0,1,6,5,109.76
2024-01-07 06:00:00,Delhi,Chennai,559,19.77,93.32,0.02,0.5,0,1,6,6,78.77
2024-01-07 07:00:00,Delhi,Hyderabad,1475,10.95,96.55,0.08,0.42,0,1,6,7,72.92
2024-01-07 08:00:00,Hyderabad,Delhi,1249,13.73,92.36,0.09,0.35,1,1,6,8,86.15
2024-01-07 09:00:00,Delhi,Hyderabad,1015,3.79,101.3,0.19,0.6,0,1,6,9,41.28
2024-01-07 10:00:00,Chennai,Bangalore,963,12.41,106.23,0.09,0.82,0,1,6,10,70.11
2024-01-07 11:00:00,Mumbai,Delhi,1440,2.73,109.1,0.11,1.0,0,1,6,11,50.18
2024-01-07 12:00:00,Kolkata,Vijayawada,1561,29.33,112.66,0.64,0.87,0,1,6,12,125.0
2024-01-07 13:00:00,Mumbai,Delhi,67,36.02,95.78,0.12,0.45,0,1,6,13,112.06
2024-01-07 14:00:00,Hyderabad,Hyderabad,105,25.71,112.98,0.47,0.08,0,1,6,14,87.25
2024-01-07 15:00:00,Bangalore,Pune,968,26.61,103.51,0.06,0.12,0,1,6,15,97.63
2024-01-07 16:00:00,Kolkata,Vijayawada,1108,19.41,96.69,0.27,0.03,0,1,6,16,79.14
2024-01-07 17:00:00,Hyderabad,Delhi,951,7.09,111.62,0.92,0.36,0,1,6,17,53.27
2024-01-07 18:00:00,Ahmedabad,Bangalore,679,1.3,102.39,0.03,0.48,0,1,6,18,35.39
2024-01-07 19:00:00,Bangalore,Chennai,843,14.42,98.63,0.88,0.82,0,1,6,19,78.77
2024-01-07 20:00:00,Mumbai,Pune,1798,30.31,85.35,0.76,0.09,0,1,6,20,115.76
2024-01-07 21:00:00,Hyderabad,Pune,1646,38.46,106.53,0.92,0.23,0,1,6,21,147.69
2024-01-07 22:00:00,Ahmedabad,Pune,1673,17.81,87.32,0.79,0.51,0,1,6,22,95.49
2024-01-07 23:00:00,Kolkata,Delhi,396,15.25,93.68,0.83,0.85,0,1,6,23,75.83
2024-01-08 00:00:00,Kolkata,Pune,1105,18.39,113.85,0.11,0.09,0,1,0,0,84.28
2024-01-08 01:00:00,Pune,Hyderabad,957,17.68,89.66,0.84,0.24,0,1,0,1,81.57
2024-01-08 02:00:00,Ahmedabad,Pune,1073,25.41,94.35,0.48,0.54,0,1,0,2,102.87
2024-01-08 03:00:00,Chennai,Bangalore,1206,29.63,112.97,0.35,0.32,1,1,0,3,119.08
2024-01-08 04:00:00,Delhi,Vijayawada,625,31.61,95.13,0.15,0.99,0,1,0,4,113.5
2024-01-08 05:00:00,Bangalore,Vijayawada,248,26.33,94.86,0.0,0.45,0,1,0,5,96.7
2024-01-08 06:00:00,Ahmedabad,Mumbai,1329,18.07,104.44,0.64,0.91,0,1,0,6,95.6
2024-01-08 07:00:00,Pune,Bangalore,1415,38.05,88.94,0.73,0.94,0,1,0,7,150.95
2024-01-08 08:00:00,Delhi,Delhi,1740,28.73,114.18,0.39,0.26,0,1,0,8,118.23
2024-01-08 09:00:00,Delhi,Pune,1304,17.64,93.25,0.16,0.33,0,1,0,9,91.39
2024-01-08 10:00:00,Hyderabad,Pune,350,18.42,108.57,0.14,0.32,0,1,0,10,75.54
2024-01-08 11:00:00,Delhi,Hyderabad,1066,32.9,93.63,0.17,0.44,0,1,0,11,117.2
2024-01-08 12:00:00,Chennai,Chennai,1620,18.18,93.26,0.06,0.06,0,1,0,12,85.67
2024-01-08 13:00:00,Kolkata,Pune,75,21.13,86.73,0.36,0.81,1,1,0,13,107.78
2024-01-08 14:00:00,Pune,Kolkata,1608,12.37,88.58,0.62,0.13,0,1,0,14,74.36
2024-01-08 15:00:00,Delhi,Bangalore,1726,33.72,100.66,0.45,0.89,1,1,0,15,151.99
2024-01-08 16:00:00,Hyderabad,Delhi,1547,21.37,102.31,0.13,0.58,0,1,0,16,105.4
2024-01-08 17:00:00,Chennai,Vijayawada,1460,22.55,109.48,0.82,0.48,0,1,0,17,106.5
2024-01-08 18:00:00,Mumbai,Mumbai,1358,35.35,86.81,0.29,0.66,0,1,0,18,131.36
2024-01-08 19:00:00,Kolkata,Pune,499,36.9,95.68,0.6,0.93,0,1,0,19,134.39
2024-01-08 20:00:00,Kolkata,Mumbai,369,33.14,91.0,0.25,0.3,0,1,0,20,108.35
2024-01-08 21:00:00,Pune,Pune,205,3.55,95.74,0.59,0.27,0,1,0,21,43.34
2024-01-08 22:00:00,Kolkata,Delhi,520,18.3,95.63,0.13,0.37,0,1,0,22,79.12
2024-01-08 23:00:00,Delhi,Chennai,469,14.39,95.63,0.66,0.49,0,1,0,23,80.65
2024-01-09 00:00:00,Hyderabad,Bangalore,1186,9.33,94.29,0.57,0.08,0,1,1,0,66.25
2024-01-09 01:00:00,Kolkata,Vijayawada,700,36.45,107.92,0.52,0.68,0,1,1,1,122.06
2024-01-09 02:00:00,Kolkata,Delhi,1495,35.71,105.69,0.22,0.52,0,1,1,2,134.33
2024-01-09 03:00:00,Mumbai,Mumbai,935,19.15,95.24,0.53,0.54,0,1,1,3,83.09
2024-01-09 04:00:00,Mumbai,Pune,979,6.25,89.39,0.9,0.25,0,1,1,4,64.07
2024-01-09 05:00:00,Bangalore,Mumbai,1794,1.52,100.55,0.13,0.84,0,1,1,5,52.59
2024-01-09 06:00:00,Chennai,Bangalore,884,18.1,112.57,0.7,0.4,0,1,1,6,89.06
2024-01-09 07:00:00,Delhi,Kolkata,925,2.56,88.71,0.11,0.65,0,1,1,7,51.43
2024-01-09 08:00:00,Kolkata,Vijayawada,991,24.77,107.59,0.34,0.24,0,1,1,8,97.21
2024-01-09 09:00:00,Ahmedabad,Delhi,1043,24.73,102.98,0.68,0.82,1,1,1,9,124.26
2024-01-09 10:00:00,Kolkata,Mumbai,1671,36.06,102.66,0.56,0.3,0,1,1,10,138.98
2024-01-09 11:00:00,Hyderabad,Mumbai,1358,8.41,113.04,0.68,0.92,0,1,1,11,82.57
2024-01-09 12:00:00,Bangalore,Bangalore,621,15.48,113.68,0.96,0.45,0,1,1,12,72.23
2024-01-09 13:00:00,Chennai,Kolkata,103,34.52,92.32,0.97,0.15,0,1,1,13,122.54
2024-01-09 14:00:00,Ahmedabad,Pune,654,19.5,109.25,0.91,0.61,0,1,1,14,92.58
2024-01-09 15:00:00,Bangalore,Kolkata,374,3.33,103.62,0.49,0.56,0,1,1,15,40.34
2024-01-09 16:00:00,Pune,Mumbai,1019,5.32,97.27,0.34,0.42,0,1,1,16,60.02
2024-01-09 17:00:00,Chennai,Bangalore,1531,32.72,104.97,0.28,0.82,0,1,1,17,129.8
2024-01-09 18:00:00,Kolkata,Pune,934,30.0,113.68,0.58,0.42,0,1,1,18,120.86
2024-01-09 19:00:00,Kolkata,Kolkata,314,35.16,100.51,0.45,0.14,1,1,1,19,123.3
2024-01-09 20:00:00,Chennai,Vijayawada,431,5.64,113.2,0.99,0.03,0,1,1,20,47.52
2024-01-09 21:00:00,Kolkata,Kolkata,1286,30.66,104.29,0.54,0.89,0,1,1,21,127.82
2024-01-09 22:00:00,Delhi,Vijayawada,382,26.55,99.49,0.33,0.47,0,1,1,22,108.55
2024-01-09 23:00:00,Chennai,Kolkata,1083,10.06,104.33,0.64,0.56,0,1,1,23,69.8
2024-01-10 00:00:00,Bangalore,Chennai,1431,38.98,103.08,0.04,0.11,0,1,2,0,130.81
2024-01-10 01:00:00,Chennai,Pune,252,23.24,97.65,0.11,0.49,0,1,2,1,88.24
2024-01-10 02:00:00,Ahmedabad,Kolkata,1781,36.37,101.87,0.66,0.53,0,1,2,2,138.96
2024-01-10 03:00:00,Kolkata,Chennai,107,34.5,106.1,0.12,0.47,0,1,2,3,122.91
2024-01-10 04:00:00,Delhi,Delhi,1567,13.99,110.17,0.76,0.95,0,1,2,4,89.94
2024-01-10 05:00:00,Delhi,Bangalore,1583,21.9,94.13,0.06,0.57,1,1,2,5,109.29
2024-01-10 06:00:00,Pune,Kolkata,1296,17.82,85.44,0.59,0.97,0,1,2,6,96.36
2024-01-10 07:00:00,Bangalore,Vijayawada,1442,28.65,101.54,0.68,0.15,1,1,2,7,133.71
2024-01-10 08:00:00,Mumbai,Pune,1765,23.93,99.68,0.78,0.91,0,1,2,8,124.96
2024-01-10 09:00:00,Mumbai,Vijayawada,1491,31.61,86.63,0.89,0.55,0,1,2,9,133.76
2024-01-10 10:00:00,Chennai,Chennai,596,1.46,103.98,0.31,0.3,0,1,2,10,33.74
2024-01-10 11:00:00,Pune,Chennai,920,27.82,113.24,0.72,0.75,0,1,2,11,114.42
2024-01-10 12:00:00,Hyderabad,Delhi,152,13.44,97.07,0.08,0.56,0,1,2,12,60.5
2024-01-10 13:00:00,Chennai,Vijayawada,1234,9.74,111.83,0.83,0.58,0,1,2,13,74.08
2024-01-10 14:00:00,Pune,Hyderabad,1273,32.25,109.39,0.89,0.17,0,1,2,14,120.09
2024-01-10 15:00:00,Bangalore,Bangalore,1233,4.48,89.85,0.75,0.68,0,1,2,15,65.37
2024-01-10 16:00:00,Bangalore,Vijayawada,1768,9.91,108.62,0.28,0.29,0,1,2,16,69.04
2024-01-10 17:00:00,Bangalore,Hyderabad,914,8.95,100.5,0.06,0.36,0,1,2,17,59.73
2024-01-10 18:00:00,Bangalore,Pune,1209,17.37,112.56,0.42,0.91,0,1,2,18,93.47
2024-01-10 19:00:00,Bangalore,Bangalore,447,13.57,90.68,0.27,0.18,0,1,2,19,64.51
2024-01-10 20:00:00,Pune,Vijayawada,441,29.1,88.75,0.53,0.89,0,1,2,20,117.89
2024-01-10 21:00:00,Pune,Delhi,155,28.28,92.24,0.39,0.5,0,1,2,21,103.24
2024-01-10 22:00:00,Delhi,Pune,1656,13.69,86.79,0.14,0.18,0,1,2,22,79.23
2024-01-10 23:00:00,Ahmedabad,Bangalore,1662,18.04,94.6,0.84,0.81,0,1,2,23,102.58
2024-01-11 00:00:00,Mumbai,Vijayawada,1127,9.11,93.49,0.86,0.65,0,1,3,0,72.36
2024-01-11 01:00:00,Kolkata,Vijayawada,1350,27.16,97.49,0.81,0.35,0,1,3,1,117.63
2024-01-11 02:00:00,Bangalore,Bangalore,160,16.45,98.89,0.21,0.3,0,1,3,2,60.42
2024-01-11 03:00:00,Hyderabad,Hyderabad,273,6.18,89.34,0.43,0.42,0,1,3,3,52.92
2024-01-11 04:00:00,Kolkata,Pune,124,5.96,103.58,0.17,0.14,1,1,3,4,47.92
2024-01-11 05:00:00,Pune,Delhi,555,13.57,91.71,0.67,0.81,0,1,3,5,70.63
2024-01-11 06:00:00,Hyderabad,Delhi,1087,30.15,88.66,0.8,0.28,0,1,3,6,113.97
2024-01-11 07:00:00,Hyderabad,Pune,819,1.99,106.26,0.58,0.83,0,1,3,7,54.87
2024-01-11 08:00:00,Hyderabad,Pune,531,11.05,85.68,0.55,0.73,0,1,3,8,71.19
2024-01-11 09:00:00,Delhi,Chennai,1262,7.34,96.05,0.71,0.94,0,1,3,9,62.53
2024-01-11 10:00:00,Pune,Mumbai,413,38.3,89.33,0.11,0.1,0,1,3,10,125.41
2024-01-11 11:00:00,Hyderabad,Vijayawada,288,28.51,111.48,0.25,0.35,0,1,3,11,99.02
