date,origin_country,origin_port,destination_port,cargo_type,cargo_quantity_mt,vessel_type,vessel_capacity_mt,distance_nm,voyage_days,bunker_price_usd_ton,port_congestion,weather_risk,port_waiting_hours,vessel_availability,procurement_price_usd_mt,freight_rate_usd_mt,charter_cost_usd,freight_demand
2023-01-01,Mozambique,Beira,Dhamra,Fertilizer,293021,Post-Panamax,97671,4544,15.9,789.72,0.275,0.524,13.3,31,181.28,32.33,9473368.93,127.39
2023-01-02,Brazil,Itaguai,Dhamra,Limestone,86321,Handymax,50247,8558,34.2,695.52,0.339,0.199,33.5,25,28.27,38.04,3283650.84,57.38
2023-01-02,Mozambique,Maputo,Kamarajar,Gypsum,223551,Small Handy,26115,5438,20.8,677.56,0.376,0.171,40.5,22,41.72,35.55,7947238.05,94.85
2023-01-02,Brazil,Santos,Dhamra,Sugar,33307,Capesize,124262,8265,29.2,659.69,0.129,0.315,12.5,2,446.92,36.29,1208711.03,36.65
2023-01-02,Vietnam,Vung Tau,Paradip,Sugar,98938,Supramax,55712,2455,9.0,600.51,0.427,0.698,44.9,19,510.43,29.51,2919660.38,63.81
2023-01-02,Brazil,Santos,Kakinada,Manganese Ore,173827,Ultramax,66930,8559,32.3,772.74,0.072,0.298,14.8,15,132.67,37.8,6570660.6,76.56
2023-01-02,Indonesia,Taboneo,Kakinada,Rock Phosphate,91248,Newcastlemax,180289,3127,10.7,562.85,0.075,0.7,24.3,37,171.91,26.73,2439059.04,86.09
2023-01-02,Australia,Hay Point,Gangavaram,Iron Ore Pellets,180499,Supramax,62527,4266,15.0,625.57,0.406,0.368,37.4,12,105.24,32.31,5831922.69,81.07
2023-01-02,Canada,Vancouver,Chennai,Petcoke,213439,Panamax,66732,10312,34.5,778.74,0.606,0.564,57.4,37,84.14,47.25,10084992.75,102.06
2023-01-03,South Africa,Durban,Paradip,Nickel Ore,120390,Post-Panamax,90911,5319,22.4,582.44,0.388,0.322,27.1,16,75.82,34.85,4195591.5,65.49
2023-01-03,Mozambique,Maputo,Paradip,Bauxite,71553,Capesize,161628,4851,16.6,660.79,0.322,0.368,23.7,31,47.17,32.43,2320463.79,72.41
2023-01-03,Brazil,Itaguai,Dhamra,Wheat,150780,Small Handy,21358,8456,34.3,665.77,0.378,0.489,42.3,29,246.8,42.07,6343314.6,82.95
2023-01-03,Indonesia,Balikpapan,Kamarajar,Bauxite,251894,Panamax,84582,3398,11.9,787.98,0.348,0.393,44.0,10,41.22,29.82,7511479.08,102.06
2023-01-03,Australia,Hay Point,Krishnapatnam,Rock Phosphate,250071,Supramax,57680,4432,17.1,737.16,0.493,0.558,67.8,8,160.28,37.39,9350154.69,84.83
2023-01-03,South Africa,Durban,Kamarajar,Petcoke,120034,VLOC,398316,5573,18.9,477.3,0.517,0.652,43.0,40,94.8,34.39,4127969.26,83.36
2023-01-03,Indonesia,Taboneo,Gangavaram,Petcoke,287767,VLOC,276115,2990,10.9,725.74,0.452,0.124,56.9,4,122.8,28.88,8310710.96,100.54
2023-01-03,Brazil,Itaguai,Dhamra,Sugar,85950,Panamax,74179,8338,27.8,477.75,0.424,0.704,50.1,10,590.66,35.73,3070993.5,45.96
2023-01-03,Australia,Port Kembla,Chennai,Alumina,106048,Ultramax,60857,4649,17.3,500.1,0.713,0.299,61.9,8,255.25,34.25,3632144.0,51.33
2023-01-03,Canada,Vancouver,Krishnapatnam,Corn,169085,Kamsarmax,79223,10518,38.2,533.9,0.386,0.71,33.7,14,191.17,39.91,6748182.35,71.45
2023-01-04,South Africa,Saldanha Bay,Dhamra,Fertilizer,67512,Panamax,71411,5162,18.2,789.84,0.33,0.36,38.2,6,270.35,34.56,2333214.72,40.7
2023-01-04,Brazil,Itaguai,Gangavaram,Iron Ore Pellets,216378,Panamax,77628,8653,33.8,687.65,0.237,0.274,44.4,7,146.97,40.2,8698395.6,82.09
2023-01-04,Indonesia,Tanjung Bara,Visakhapatnam,Petcoke,296997,Handymax,47715,2945,12.0,476.19,0.412,0.533,37.8,4,96.66,29.16,8660432.52,105.84
2023-01-04,Vietnam,Cam Pha,Visakhapatnam,Bauxite,298995,Capesize,142510,2326,8.2,692.66,0.342,0.278,31.5,40,66.52,28.77,8602086.15,131.76
2023-01-04,Indonesia,Taboneo,Paradip,Gypsum,87454,Small Handy,22526,2777,11.3,708.78,0.492,0.098,45.7,21,27.37,30.92,2704077.68,65.84
2023-01-04,Colombia,Puerto Bolivar,Chennai,Iron Ore Pellets,95019,Panamax,76325,9597,34.4,631.44,0.612,0.077,52.3,14,144.5,40.37,3835917.03,44.75
2023-01-05,USA,Hampton Roads,Kakinada,Fertilizer,88358,Kamsarmax,82707,9769,40.3,723.84,0.227,0.652,14.9,20,283.87,41.84,3696898.72,56.79
2023-01-05,Brazil,Santos,Kamarajar,Soybean,135744,Supramax,58587,8689,35.2,725.08,0.417,0.534,47.0,23,425.15,42.54,5774549.76,70.53
2023-01-05,Canada,Quebec,Krishnapatnam,Alumina,240567,Panamax,71506,10846,38.7,527.72,0.402,0.667,36.2,6,239.03,43.54,10474287.18,93.09
2023-01-05,Brazil,Santos,Kamarajar,Manganese Ore,232011,Capesize,176199,8740,31.6,711.61,0.497,0.666,68.0,27,212.94,41.86,9711980.46,98.09
2023-01-05,Mozambique,Beira,Gangavaram,Petcoke,21711,Post-Panamax,92592,4848,20.4,715.47,0.194,0.155,31.4,5,82.02,28.97,628967.67,36.88
2023-01-05,Australia,Gladstone,Paradip,Gypsum,118822,Supramax,61460,3856,13.2,746.93,0.383,0.622,26.9,14,34.7,30.61,3637141.42,57.54
2023-01-05,Australia,Port Hedland,Visakhapatnam,Manganese Ore,192927,Small Handy,14930,4814,21.2,492.15,0.475,0.506,40.7,4,147.36,33.58,6478488.66,73.06
2023-01-05,Canada,Vancouver,Krishnapatnam,Wheat,289548,Handysize,34002,10218,39.8,617.94,0.547,0.556,46.8,9,261.78,45.29,13113628.92,86.84
2023-01-06,South Africa,Richards Bay,Kamarajar,Petcoke,68084,Panamax,68990,5458,22.3,713.07,0.491,0.551,42.6,29,91.68,36.27,2469406.68,63.61
2023-01-06,Brazil,Tubarão,Chennai,Alumina,277485,Post-Panamax,89678,9032,36.1,767.49,0.57,0.228,52.7,32,214.62,41.84,11609972.4,120.98
2023-01-06,Brazil,Santos,Kamarajar,Rock Phosphate,45507,Capesize,128686,8655,31.7,627.76,0.426,0.18,30.4,18,170.68,38.97,1773407.79,48.48
2023-01-06,Indonesia,Tanjung Bara,Dhamra,Sugar,252303,Capesize,124760,2925,10.1,552.03,0.456,0.647,35.6,40,548.34,29.96,7558997.88,116.34
2023-01-06,Indonesia,Taboneo,Gangavaram,Iron Ore,141219,Kamsarmax,76132,2924,11.8,589.9,0.563,0.101,47.8,35,83.36,30.37,4288821.03,86.1
2023-01-06,Mozambique,Beira,Dhamra,Thermal Coal,182529,Ultramax,65037,4575,15.9,726.03,0.513,0.35,55.7,35,90.09,35.65,6507158.85,93.19
2023-01-06,Mozambique,Beira,Chennai,Iron Ore Pellets,272065,Ultramax,67142,5212,22.0,454.82,0.733,0.381,51.4,29,114.79,34.65,9427052.25,111.47
2023-01-06,USA,New Orleans,Visakhapatnam,Sugar,258628,Capesize,179910,9237,31.9,762.51,0.47,0.177,65.2,23,468.2,40.74,10536504.72,96.38
2023-01-06,South Africa,Richards Bay,Kakinada,Rock Phosphate,228006,Small Handy,17536,5267,21.0,497.86,0.266,0.56,37.4,15,127.17,30.33,6915421.98,85.93
2023-01-07,Indonesia,Taboneo,Gangavaram,Iron Ore,150656,Kamsarmax,78563,2876,11.3,762.77,0.259,0.115,30.0,13,109.76,26.23,3951706.88,88.69
2023-01-07,Russia,Vostochny,Visakhapatnam,Iron Ore Pellets,155004,Handymax,53308,3755,14.4,526.77,0.381,0.322,43.6,26,152.56,29.54,4578818.16,81.13
2023-01-07,USA,Houston,Kamarajar,Fertilizer,221878,Panamax,67295,9583,39.3,485.24,0.85,0.599,83.3,21,227.9,44.56,9886883.68,78.35
2023-01-07,Russia,Nakhodka,Krishnapatnam,Petcoke,228639,VLOC,214972,3975,14.4,640.48,0.399,0.701,33.1,32,105.28,29.07,6646535.73,117.71
2023-01-07,Australia,Gladstone,Gangavaram,Coking Coal,136584,Post-Panamax,97668,4273,17.6,520.79,0.441,0.608,52.3,4,173.82,28.59,3904936.56,61.52
2023-01-07,Mozambique,Beira,Krishnapatnam,Fertilizer,239182,Handymax,52205,5154,21.3,479.77,0.343,0.55,28.1,10,253.26,29.34,7017599.88,97.35
2023-01-07,USA,New Orleans,Dhamra,Thermal Coal,149452,Capesize,150394,9105,32.0,798.85,0.482,0.409,43.6,12,91.7,40.49,6051311.48,68.8
2023-01-07,Australia,Newcastle,Kamarajar,Manganese Ore,107011,Kamsarmax,81121,4506,18.7,782.46,0.441,0.645,31.4,5,135.91,36.63,3919812.93,46.83
2023-01-07,USA,Hampton Roads,Dhamra,Limestone,210255,Post-Panamax,96995,9613,37.1,634.69,0.594,0.702,56.3,21,30.37,44.06,9263835.3,85.04
2023-01-08,USA,Houston,Paradip,Fertilizer,165802,Handysize,29031,9155,38.0,622.78,0.426,0.475,49.4,31,272.03,42.2,6996844.4,90.12
2023-01-08,Brazil,Itaguai,Krishnapatnam,Corn,104690,Supramax,60352,8727,33.8,690.32,0.389,0.137,33.0,38,219.8,39.7,4156193.0,81.6
2023-01-08,Mozambique,Beira,Chennai,Sugar,79793,Supramax,59209,5076,21.2,537.95,0.409,0.375,51.2,3,373.51,33.95,2708972.35,47.58
2023-01-08,Canada,Vancouver,Chennai,Petcoke,235185,VLOC,251299,10181,37.0,502.62,0.392,0.49,31.9,13,106.97,36.9,8678326.5,90.77
2023-01-08,Australia,Hay Point,Dhamra,Iron Ore,173868,Supramax,50221,3955,16.4,740.54,0.28,0.319,8.7,4,117.75,31.16,5417726.88,67.61
2023-01-08,Australia,Gladstone,Gangavaram,Limestone,58064,Supramax,60061,4245,14.4,780.33,0.389,0.725,44.4,19,37.77,31.51,1829596.64,51.11
2023-01-08,Australia,Gladstone,Krishnapatnam,Manganese Ore,164390,Ultramax,66978,4198,16.3,662.29,0.512,0.644,39.1,28,137.25,34.44,5661591.6,81.45
2023-01-08,USA,Houston,Chennai,Coking Coal,160017,Post-Panamax,90760,9569,39.4,526.58,0.685,0.275,61.5,35,183.25,41.97,6715913.49,84.03
2023-01-08,Vietnam,Vung Tau,Chennai,Rock Phosphate,51435,Ultramax,62974,2735,10.8,767.29,0.92,0.426,95.8,38,170.81,35.05,1802796.75,59.88
2023-01-08,Canada,Prince Rupert,Paradip,Sugar,57711,VLOC,363954,9649,37.1,684.46,0.501,0.542,46.3,23,559.1,41.38,2388081.18,56.28
2023-01-08,Brazil,Itaguai,Dhamra,Coking Coal,192334,Ultramax,60195,8617,34.7,528.45,0.375,0.08,34.8,10,158.14,38.1,7327925.4,86.24
2023-01-08,Brazil,Itaguai,Paradip,Petcoke,95948,Newcastlemax,204817,8571,31.3,620.26,0.474,0.213,57.9,1,138.04,35.43,3399437.64,41.72
2023-01-09,USA,Houston,Kamarajar,Fertilizer,175045,Ultramax,63718,9745,32.6,467.71,0.595,0.537,79.6,9,212.04,41.3,7229358.5,63.11
2023-01-09,Vietnam,Cam Pha,Chennai,Manganese Ore,295546,Ultramax,65664,2699,9.5,674.35,0.616,0.158,50.9,35,210.08,32.15,9501803.9,119.48
2023-01-09,USA,Houston,Krishnapatnam,Corn,127653,Panamax,83907,9598,33.4,542.09,0.46,0.34,41.7,2,233.0,41.41,5286110.73,56.43
2023-01-09,Canada,Quebec,Paradip,Rock Phosphate,156557,Newcastlemax,202636,10418,36.1,780.57,0.31,0.466,18.7,17,149.53,43.33,6783614.81,67.1
2023-01-09,Australia,Gladstone,Visakhapatnam,Petcoke,44596,Kamsarmax,76143,4102,13.8,583.65,0.509,0.581,33.3,16,103.4,31.4,1400314.4,43.73
2023-01-09,Brazil,Santos,Visakhapatnam,Corn,71436,Small Handy,19065,8604,32.3,693.28,0.326,0.373,31.0,7,229.75,41.05,2932447.8,40.63
2023-01-09,Indonesia,Taboneo,Dhamra,Manganese Ore,110706,Newcastlemax,194952,2907,10.3,512.12,0.194,0.7,19.6,18,150.99,26.18,2898283.08,68.95
2023-01-09,Indonesia,Tanjung Bara,Kamarajar,Corn,296901,Small Handy,20332,3399,14.6,518.85,0.561,0.53,59.8,39,245.57,28.81,8553717.81,127.91
2023-01-09,USA,Hampton Roads,Chennai,Thermal Coal,104249,Panamax,78611,10104,35.2,482.45,0.673,0.579,72.5,29,91.45,42.7,4451432.3,57.82
2023-01-09,Indonesia,Balikpapan,Kakinada,Wheat,155879,Small Handy,19444,3112,13.2,775.55,0.262,0.307,21.0,17,247.59,31.64,4932011.56,76.38
2023-01-10,South Africa,Saldanha Bay,Kamarajar,Nickel Ore,180915,Supramax,61927,5946,21.0,689.59,0.648,0.322,55.9,37,72.47,38.07,6887434.05,92.78
2023-01-10,Australia,Port Hedland,Paradip,Coking Coal,31167,Small Handy,20940,4163,17.8,584.52,0.367,0.451,39.5,16,168.71,30.5,950593.5,42.5
2023-01-10,South Africa,Richards Bay,Chennai,Coking Coal,107820,Newcastlemax,203273,5484,20.6,701.24,0.558,0.351,39.0,28,172.35,33.72,3635690.4,76.12
2023-01-10,Indonesia,Balikpapan,Gangavaram,Iron Ore Pellets,11489,Handymax,42933,3255,12.3,467.99,0.347,0.414,51.4,38,142.88,27.22,312730.58,62.26
2023-01-10,USA,Houston,Dhamra,Limestone,211609,Newcastlemax,204420,9136,28.8,753.84,0.544,0.303,55.0,2,36.63,42.3,8951060.7,60.6
2023-01-10,Brazil,Tubarão,Chennai,Bauxite,207342,Post-Panamax,94980,8995,31.0,645.91,0.655,0.489,67.7,11,66.74,41.61,8627500.62,75.65
2023-01-10,Australia,Dalrymple Bay,Gangavaram,Rock Phosphate,11320,Post-Panamax,85424,4252,14.5,482.51,0.335,0.578,39.9,23,114.63,30.61,346505.2,40.41
2023-01-10,Canada,Vancouver,Krishnapatnam,Coking Coal,59051,Small Handy,14855,10269,41.7,634.06,0.513,0.455,48.8,15,182.62,45.05,2660247.55,44.71
2023-01-10,South Africa,Richards Bay,Chennai,Wheat,271003,Handysize,33570,5382,20.2,475.86,0.55,0.576,56.9,33,231.09,35.74,9685647.22,108.04
2023-01-10,Colombia,Cartagena,Chennai,Fertilizer,76446,Newcastlemax,189705,9647,33.5,781.73,0.514,0.708,38.3,30,333.58,45.23,3457652.58,53.96
2023-01-10,Australia,Port Hedland,Dhamra,Alumina,295256,Panamax,65096,4109,14.3,476.21,0.187,0.554,26.2,7,347.15,27.4,8090014.4,101.99
2023-01-11,Australia,Newcastle,Paradip,Iron Ore,119293,Ultramax,61028,4057,15.8,604.59,0.337,0.678,44.6,5,121.51,31.49,3756536.57,60.59
2023-01-11,Indonesia,Taboneo,Paradip,Soybean,277440,Ultramax,69126,3022,12.3,534.19,0.499,0.092,48.6,21,421.74,25.13,6972067.2,110.97
2023-01-11,South Africa,Durban,Chennai,Thermal Coal,269430,Capesize,120977,5545,20.7,750.39,0.682,0.519,74.6,35,104.0,36.11,9729117.3,115.78
2023-01-11,South Africa,Saldanha Bay,Dhamra,Bauxite,245035,Newcastlemax,206160,5403,20.4,655.68,0.251,0.217,45.7,17,65.11,31.73,7774960.55,102.59
2023-01-11,Australia,Port Kembla,Krishnapatnam,Sugar,100506,Small Handy,18755,4495,18.4,463.44,0.449,0.466,51.5,24,446.02,32.27,3243328.62,67.17
2023-01-11,Australia,Hay Point,Kamarajar,Thermal Coal,170355,Supramax,54347,4716,16.7,611.03,0.563,0.414,45.1,21,82.86,32.54,5543351.7,83.93
2023-01-11,Australia,Gladstone,Kakinada,Nickel Ore,212099,Post-Panamax,93426,4178,14.7,520.52,0.171,0.326,31.2,6,72.98,25.54,5417008.46,91.09
2023-01-11,Indonesia,Taboneo,Gangavaram,Iron Ore Pellets,269337,Ultramax,68621,2919,9.8,681.71,0.58,0.705,47.8,19,138.32,33.77,9095510.49,93.47
2023-01-11,Canada,Vancouver,Gangavaram,Soybean,245102,Capesize,133521,9992,37.6,565.64,0.558,0.566,37.3,32,436.06,41.85,10257518.7,108.15
2023-01-11,Russia,Nakhodka,Visakhapatnam,Wheat,288892,Capesize,161148,3851,13.6,669.93,0.514,0.583,30.9,25,257.43,32.34,9342767.28,117.05
2023-01-11,Brazil,Santos,Chennai,Manganese Ore,249114,Kamsarmax,78555,8904,33.1,721.95,0.641,0.512,51.4,16,138.34,41.37,10305846.18,87.41
2023-01-11,Vietnam,Cam Pha,Gangavaram,Nickel Ore,261457,Newcastlemax,195764,2304,7.6,730.13,0.494,0.58,40.8,25,62.95,30.82,8058104.74,108.62
2023-01-12,Colombia,Puerto Bolivar,Paradip,Soybean,85090,Supramax,56374,8979,30.1,514.93,0.317,0.66,36.5,26,451.34,37.59,3198533.1,69.04
2023-01-12,Colombia,Puerto Bolivar,Chennai,Manganese Ore,226207,Capesize,136872,9442,35.1,498.74,0.699,0.32,64.1,9,207.66,40.09,9068638.63,83.71
2023-01-12,USA,New Orleans,Kamarajar,Sugar,290913,Handysize,28226,9377,34.6,484.05,0.32,0.513,42.5,19,453.74,40.92,11904159.96,103.49
2023-01-12,South Africa,Saldanha Bay,Paradip,Alumina,136387,Panamax,67297,5199,21.2,788.17,0.414,0.194,42.8,24,240.34,33.68,4593514.16,73.46
2023-01-12,USA,Hampton Roads,Krishnapatnam,Coking Coal,44163,Panamax,77272,9933,38.1,456.85,0.516,0.471,44.2,34,139.88,41.13,1816424.19,58.72
2023-01-12,Canada,Vancouver,Dhamra,Wheat,128520,Small Handy,17383,10041,39.4,666.95,0.345,0.423,33.6,16,186.21,42.43,5453103.6,63.48
2023-01-12,Australia,Newcastle,Gangavaram,Iron Ore Pellets,109152,Post-Panamax,97107,4119,15.4,758.97,0.423,0.686,67.3,10,102.75,33.59,3666415.68,58.5
2023-01-12,South Africa,Richards Bay,Dhamra,Corn,116939,Supramax,54722,5236,18.9,666.07,0.452,0.734,37.2,2,231.1,33.65,3934997.35,51.88
2023-01-12,Mozambique,Beira,Gangavaram,Iron Ore Pellets,151794,Panamax,76804,4703,17.8,598.82,0.415,0.505,43.8,9,124.74,33.31,5056258.14,77.78
2023-01-12,Brazil,Tubarão,Chennai,Alumina,193149,Handysize,27641,9008,38.2,492.3,0.849,0.59,62.2,2,337.85,43.03,8311201.47,59.8
2023-01-12,Russia,Vostochny,Chennai,Limestone,60491,VLOC,226265,4149,16.7,465.82,0.698,0.203,67.8,19,29.89,31.28,1892158.48,53.31
2023-01-12,Canada,Prince Rupert,Visakhapatnam,Coking Coal,177196,Ultramax,60727,9761,32.7,657.67,0.658,0.735,61.4,7,155.93,44.57,7897625.72,60.65
2023-01-12,USA,Houston,Dhamra,Manganese Ore,26065,Kamsarmax,80164,9041,38.1,619.96,0.36,0.553,27.5,3,203.45,42.26,1101506.9,39.26
2023-01-12,Russia,Vostochny,Visakhapatnam,Thermal Coal,56614,Newcastlemax,199324,3447,12.9,518.81,0.365,0.531,32.7,3,107.95,28.62,1620292.68,40.38
2023-01-12,USA,Hampton Roads,Visakhapatnam,Soybean,95760,Supramax,64363,9841,40.3,593.29,0.57,0.075,55.6,3,453.47,44.86,4295793.6,34.92
2023-01-12,Russia,Nakhodka,Gangavaram,Petcoke,175455,Small Handy,14793,3699,13.9,745.74,0.34,0.673,23.1,37,101.27,34.76,6098815.8,98.06
2023-01-12,Mozambique,Beira,Gangavaram,Gypsum,248420,Small Handy,27502,4703,20.8,457.04,0.224,0.505,20.9,20,36.7,32.02,7954408.4,110.09
2023-01-13,USA,New Orleans,Kamarajar,Wheat,107039,Handymax,56730,9571,37.1,529.86,0.603,0.56,56.1,34,291.44,42.42,4540594.38,69.47
2023-01-13,South Africa,Durban,Kakinada,Limestone,216113,VLOC,206679,5364,21.3,480.12,0.551,0.108,57.0,6,46.68,33.78,7300297.14,74.06
2023-01-13,South Africa,Richards Bay,Kakinada,Iron Ore,46617,Handymax,54329,5412,22.2,492.73,0.414,0.346,54.3,20,101.81,33.27,1550947.59,53.63
2023-01-13,Russia,Nakhodka,Chennai,Sugar,254482,Supramax,56099,4074,15.7,458.23,0.537,0.542,52.7,14,540.05,30.41,7738797.62,101.46
2023-01-13,USA,Hampton Roads,Chennai,Sugar,286337,Kamsarmax,78594,10047,35.9,642.8,0.609,0.577,53.7,19,474.21,46.93,13437795.41,111.02
2023-01-13,Australia,Newcastle,Kamarajar,Wheat,108037,Handysize,25565,4634,18.8,530.38,0.757,0.137,47.7,28,298.23,31.41,3393442.17,73.78
2023-01-13,Brazil,Tubarão,Gangavaram,Iron Ore Pellets,252884,Capesize,144066,8716,33.9,718.73,0.4,0.572,48.5,40,131.99,40.11,10143177.24,109.84
2023-01-13,Indonesia,Tanjung Bara,Gangavaram,Soybean,25474,Ultramax,65177,2690,11.1,642.69,0.425,0.471,46.8,3,446.31,30.75,783325.5,21.45
2023-01-13,Australia,Newcastle,Visakhapatnam,Coking Coal,80214,Handymax,54832,4007,15.7,521.07,0.273,0.659,39.4,20,136.64,27.89,2237168.46,57.87
2023-01-13,Canada,Prince Rupert,Kamarajar,Corn,217225,VLOC,368715,10080,37.3,798.18,0.639,0.719,67.9,23,198.21,47.37,10289948.25,93.99
2023-01-13,Russia,Nakhodka,Krishnapatnam,Coking Coal,20559,Newcastlemax,202893,3908,12.7,790.91,0.527,0.738,26.9,12,151.61,36.17,743619.03,30.54
2023-01-13,Colombia,Cartagena,Gangavaram,Gypsum,30273,VLOC,362259,9226,30.8,679.15,0.454,0.439,50.6,34,34.56,39.92,1208498.16,51.79
2023-01-13,Vietnam,Vung Tau,Chennai,Thermal Coal,271984,Kamsarmax,80630,2951,12.1,536.39,0.612,0.534,70.7,39,90.49,28.3,7697147.2,117.89
2023-01-13,South Africa,Durban,Kakinada,Rock Phosphate,117197,Kamsarmax,84714,5295,20.3,716.34,0.174,0.266,26.8,7,117.08,33.71,3950710.87,62.47
2023-01-13,Canada,Vancouver,Kamarajar,Petcoke,130930,Handymax,50501,10259,41.9,482.17,0.616,0.414,70.8,24,92.93,40.92,5357655.6,72.27
2023-01-13,South Africa,Saldanha Bay,Paradip,Rock Phosphate,220345,Panamax,76707,5323,20.3,766.59,0.504,0.214,47.3,8,117.96,35.55,7833264.75,80.2
2023-01-13,Russia,Vostochny,Gangavaram,Corn,259252,Handymax,41151,3891,16.0,624.1,0.564,0.149,70.2,34,230.01,30.42,7886445.84,114.05
2023-01-14,Brazil,Tubarão,Dhamra,Sugar,86819,Panamax,69469,8685,34.4,560.8,0.302,0.739,23.3,39,422.47,37.86,3286967.34,67.08
2023-01-14,USA,Houston,Kamarajar,Alumina,275954,Panamax,81450,9713,32.5,505.58,0.493,0.673,41.6,20,321.11,41.25,11383102.5,109.37
2023-01-14,South Africa,Durban,Visakhapatnam,Thermal Coal,240287,Kamsarmax,79117,5326,21.6,695.98,0.56,0.689,33.8,18,87.61,36.15,8686375.05,93.1
2023-01-14,Canada,Quebec,Kamarajar,Bauxite,240056,Small Handy,15905,11000,44.5,682.91,0.603,0.742,65.6,14,60.51,46.57,11179407.92,80.28
2023-01-14,Russia,Vostochny,Visakhapatnam,Iron Ore Pellets,92688,Post-Panamax,85070,3787,13.2,563.83,0.263,0.254,26.4,8,105.68,28.7,2660145.6,53.85
2023-01-14,Brazil,Santos,Chennai,Gypsum,202948,Panamax,84867,8751,34.7,741.5,0.658,0.553,62.6,13,23.61,42.71,8667909.08,74.66
2023-01-14,Indonesia,Balikpapan,Chennai,Wheat,25446,Kamsarmax,78207,3167,11.9,786.03,0.652,0.542,59.5,39,216.14,33.02,840226.92,59.1
2023-01-14,Canada,Quebec,Kakinada,Manganese Ore,187040,Handymax,55750,10707,39.4,709.98,0.188,0.188,17.6,37,219.13,42.68,7982867.2,105.14
2023-01-14,Australia,Dalrymple Bay,Paradip,Corn,258687,Post-Panamax,92913,3883,14.9,778.65,0.425,0.615,27.1,9,264.12,33.69,8715165.03,82.05
2023-01-14,Brazil,Itaguai,Dhamra,Petcoke,190263,Supramax,64258,8427,28.6,451.94,0.332,0.24,36.1,25,135.6,37.12,7062562.56,89.72
2023-01-14,Russia,Nakhodka,Dhamra,Rock Phosphate,97336,Handymax,46352,3608,14.4,721.95,0.396,0.263,19.0,6,145.41,33.04,3215981.44,54.68
2023-01-14,Canada,Quebec,Krishnapatnam,Nickel Ore,48691,Post-Panamax,99150,10897,37.8,749.07,0.701,0.657,64.4,1,82.08,49.77,2423351.07,28.53
2023-01-14,Russia,Nakhodka,Kamarajar,Manganese Ore,117507,Post-Panamax,89685,3867,13.3,585.68,0.577,0.201,60.1,22,186.78,34.48,4051641.36,65.12
2023-01-15,Australia,Gladstone,Krishnapatnam,Nickel Ore,39551,Post-Panamax,90177,4226,16.0,781.25,0.338,0.301,41.7,30,69.96,32.85,1299250.35,63.9
2023-01-15,Colombia,Puerto Bolivar,Gangavaram,Fertilizer,33119,Ultramax,69674,9214,31.5,546.23,0.501,0.636,44.3,31,247.26,41.18,1363840.42,59.5
